id_artigo,titulo,ano,api_abstract,topico,topico_prob
1191,A INCLUSÃO DA AUTOGESTÃO DO TRABALHO ENQUANTO TEMÁTICA PARA A FORMAÇÃO EM EPT &#45; RESPOSTAS DE UMA INTERVENÇÃO FORMATIVA,2022,"Tendo em vista a busca de alternativas que auxiliem efetivação do trabalho enquanto princípio educativo, este estudo analisou meios para inclusão dos temas Autogestão Trabalho, Cooperativismo e ES, na EPT. Para tanto, foi realizada uma pesquisa-ação três etapas, sendo primeira aplicação um questionário, via google forms, junto à comunidade interna IFG-Câmpus Formosa, compreender suas realidades acadêmicas laborais, assim como seu conhecimento prévio sobre os elencados. A segunda etapa momento formativo acerca temas, seguido da aos participantes, coletar dados sua compreensão. análise conteúdo identificou as categorias trabalho, educação curricularização, sugerindo inserção abordados nos PPCs cursos EPT por meio curricularização extensão, através projetos, palestras, oficinas criação disciplinas. terceira consistiu confecção Produto Educacional fomentar EPT, feito após coletados durante pesquisa avaliado ao final pelos participantes.",-1,0.0
1196,O QUE REVELA UMA (RE)AFIRMAÇÃO CRÍTICA DO CURRÍCULO ANTE O (RE)EXAME DAS TEORIAS CRÍTICAS GERAIS,2020,"Este ensaio almeja, em respaldo à premente reorientação de uma centralidade crítica ao campo do currículo, compreender como as teorizações críticas gerais, sobretudo aquelas engendradas contexto brasileiro, contribuíram para reflexões ligadas às práticas curriculares. Destarte, evidencia-se especulação acerca famosos ensaios que, dentre o emaranhado que caracterizam emergir da década 1970, são tidos na atualidade clássicos responsáveis pelas curriculares (especialmente críticas) eminentes desde suas publicações. Conclui, esforço síntese, dado ênfase a emergência problematização se valha, ainda hoje, um ideal emancipatório característico aos estratos sociais marginalizados, consequentemente jus materialização concepção curricular rente necessidade superação dos condicionantes segregacionistas protagonizam e delineiam os conhecimentos constitutivos currículos nos sistemas escolares hodiernos.",-1,0.0
1197,UNESCO E A EDUCAÇÃO PROFISSIONAL PARA O SÉCULO XXI: INFORMALIDADE E FLEXIBILIZAÇÃO COMO HORIZONTES PARA A FORMAÇÃO DO TRABALHADOR,2020,"O artigo visa discutir como são caracterizados o trabalho e a educação no documento “Liberar potencial: transformar formação técnica profissional”, chancelado pela Unesco (2015). A pesquisa é teórica com análise documental. dialogou um referencial teórico ancorado na identificação das contradições, continuidades alinhamentos da relação entre capital, educação. Os elaboradores do adotam concepção economicista utilitarista para mercado ênfase informal, assumindo-o fonte de criatividade empreendedorismo, porém, escamoteando precarização trabalho.",-1,0.0
1200,CONTRIBUIÇÕES DE UMA SEQUÊNCIA DIDÁTICA INTERDISCIPLINAR EM UMA ABORDAGEM INVESTIGATIVA: A HORTA ESCOLAR NO CONTEXTO,2018,"O desinteresse dos estudantes durante as aulas é um fatores de preocupação e frustração relatados por muitos professores em trabalhos acadêmicos. Neste trabalho, apresentamos uma análise na perspectiva três professoras elaboração no desenvolvimento sequência didática interdisciplinar meio atividades investigativas para turma 6º ano do ensino fundamental escola pública municipal rural região sudoeste estado Goiás. Este artigo recorte pesquisa mestrado profissional Educação Ciências Matemática, que se configura como possibilidade ação contexto escolar. A coleta dados foi realizada entrevistas semiestruturadas observações assistemáticas, questões da entrevista tiveram objetivo conhecer o perfil das sua percepção quanto à proposta interdisciplinar, turma, às metodologias utilizadas, possíveis mudanças detectadas comportamento alunos dificuldades encontradas. deste trabalho propiciou realizar reflexão sobre suas práticas pedagógicas, já puderam observar participação alunos, dinâmica sala aula, bem aprendizagem conteúdos abordados.",-1,0.0
1201,"EDUCAÇÃO DE JOVENS E ADULTOS, MATEMÁTICA E ENSINO REMOTO",2021,"A educação de jovens e adultos (EJA) é uma modalidade ensino que traz consigo histórias lutas educandos repletas detalhes, anseios, apreensões, esperanças. Estas lutas, em 2020, foram entrecortadas por pandemia acrescentou aos outras preocupações. Este artigo retrata este debate salienta como o processo ensino-aprendizagem na EJA se efetivou no Brasil meio desafios postos para aulas não presenciais. Apresenta-se aqui um recorte pesquisa desenvolvida cinco municípios estado Goiás ano 2020. No caso refere-se ao acompanhamento educanda escola pública federal, município Jataí-GO. O realizou-se disciplina Matemática, iniciou-se com entrevista presencial, mês fevereiro, antes do início da pandemia. Com a suspensão das atividades presenciais escola, foi redimensionada e, além disciplina, optou-se verificar também as dificuldades referentes remoto. Desenvolveu-se qualitativa. coleta dados deu questionário perguntas estruturadas entrevistas semiestruturadas, primeiro momento presencial depois celular. Todas gravadas transcritas. Observou-se dos Matemática potencializadas pelo Verificou-se pesquisada os alunos tiveram auxílio financeiro subsidiar acesso à internet empréstimo equipamentos uso às remotas, fundamental aprendizagem pesquisada.",0,0.0
1202,"INCLUSÃO DE TRANSEXUAIS, REFUGIADOS E IMIGRANTES LATINO-AMERICANOS NA REDE FEDERAL DE EDUCAÇAÕ, UTILIZANDO O SISTEMA DE COTAS/INCLUSION OF TRANSSEXUALS, REFUGEES AND LATIN AMERICAN IMMIGRANTS IN THE FEDERAL EDUCATION NETWORK, USING THE QUOTA SYSTEM",2020,"The issue of social inclusion in Brazilian public education, especially in the federal network, is a most relevant topic. Education is social praxis that aims to insert subjects in the historical process, while contributing to the construction of their subjectivity. The marginalized subjects, those who are forced to occupy the borders and not be at the center of things, need greater participation in the construction of society, in order to eliminate or minimize this situation of marginalization. As examples of these subjects we can mention transsexuals, refugees and Latin American immigrants. For the purposes of this study, we consider as a transsexual woman every person who claims recognition as a woman and a transsexual man is every person who claims recognition as a man, regardless of biological sex. The refugee, on the other hand, is the whole person, who, due to wellfounded fears of persecution due to their race, religion, nationality, association with a particular social group or political opinion, finds themselves outside their country of origin. And a Latin American immigrant is anyone who comes from a country in the so-called Latin America that chose Brazil as a place of residence. After consulting several databases and interviews with different social subjects, which can be classified in one or more of these groups, it was concluded that quotas in the Brazilian Journal of Development Braz. J. of Develop., Curitiba, v. 6, n. 10, p.81840-81848 ,oct. 2020. ISSN 2525-8761 81842 federal education network are necessary, as these subjects are exposed prejudice, underemployment and exploitation, in their various nuances. It should be noted that this quota policy cannot be implemented on time, in this or that institution, but, in a global way, through specific legislation.",0,0.0
1203,O AGROEXTRATIVISMO NO CERRADO A PARTIR DA PERSPECTIVA ANALÍTICA DA CIENCIOMETRIA ENTRE 2015 E 2020,2021,"O agroextrativismo articula atividades extrativas com tecnicas de cultivo, criacao e beneficiamento. E orientado para diversificacao, consorcio especies, imitacao da estrutura dos padroes do ambiente natural uso geralmente desenvolvidas a partir saberes das praticas tradicionais, conhecimento ecossistemas condicoes ecologicas regionais. um importante instrumento utilizacao sustentavel biomas. Cerrado considerado savana maior biodiversidade planeta, portanto campo proficuo ao desenvolvimento agroextrativismo. Nesse sentido, este trabalho tem como objetivo levantar analisar as producoes cientificas que abordam esta tematica o bioma Cerrado, utilizando isto metodologia cienciometria. A base dados escolhida producao cientifica sobre no nos ultimos seis anos, foi Scopus Elsevier. Realizou-se busca avancada, considerando somente os artigos revisados por pares, quais foram analisados, levando-se em consideracao criterios ano publicacao, pais primeiro autor, impactos socioeconomicos envolvimento comunidades locais, entre outros. Entre resultados encontrados pode-se destacar prevalencia pesquisadores brasileiros, principalmente, Regiao Nordeste pais, importância produtos servicos ambientais subsistencia geracao renda, papel pratica na conservacao ambiental, etc. estudo realizado teve ponto partida publicado, anteriormente, produziu uma analise cienciometrica mesma ate 2014, buscando, certa forma, promover atualizacao.",0,0.0
1204,AVALIAÇÃO DAS MELHORIAS OBTIDAS POR MEIO DA IMPLANTAÇÃO DO PROJETO DE ALVENARIA DE VEDAÇÃO,2013,"A implantação do projeto de alvenaria propicia um instrumento racionalização visando melhorias no processo produção em canteiros obras. O presente trabalho teve como objetivo avaliar e quantificar as obtidas execução vedação por meio da para a produção, empreendimento região metropolitana Goiânia. estudo foi dividido dois momentos distintos: antes após projeto, nos quais foram avaliados produtividade o consumo blocos cerâmicos serviço executado. Para avaliação das melhorias, os dados tratados análises estatísticas. Como principais resultados, observou-se aumento potencial equipe na ordem 15% regressões lineares confirmaram tendência efeito aprendizado produção. percentual elevações que tiveram real menor ou igual ao referência obtido passou 38% 80% projeto. principal contribuição deste está relacionada método impacto causado pela nas perdas materiais.",0,0.0
1205,LABOR PRODUCTIVITY IMPROVEMENT OBTAINED BY MASONRY WALLS PROJECT DESIGN IMPLEMENTATION,2020,"Abstract This paper aims to quantify the labor productivity improvement reached by implementation of a masonry wall project design guide field construction. A is an instrument rationalization, developed specify layout and steps walls execution. The methodology quantitative nature involves practical case. work enterprise in Goiânia (Brazil) was tracked collection data, firstly crew that didn’t have access design, then had project. evaluation processed means statistical analysis, such as location dispersion measures, average variance, T-test, F-value. Hypothesis tests were also performed prove changes caused results showed deployment optimized production process field. There 26% increase team with according hypothesis tests. main contribution this present beneficial impact tailored for construction, which allows formal rational approach heavily artisanal technique.",0,0.0
1206,DEVELOPMENT OF A PERFORMANCE CONCEPT IN THE CONSTRUCTION FIELD: A CRITICAL REVIEW,2020,"The performance concept in the construction field is very broad, can occur within project scope and building, suggesting effective ways to evaluate according activities involved. Although a large number of studies on (CPP) performance-based building (PBB) have been conducted last decade, there remains lack consensus among researchers professionals regarding how integrate PBB-related into phases (design, planning, operation). After an in-depth analysis hundreds journal articles published between 2008 2018, this study provides holistic understanding critical reflection nexus CPP PBB, systematically illustrated by “Performance information mapping” Taxonomy Framework” at each phase strategic decision-making process. results help future conduct searches that are more relevant design, aiming steps ensure success efficiency. A systematic review contributes better because it covers unprecedented both stages, process management product requirements industry. concludes suggesting, as further work, search for integration tool.",0,0.0
1207,"3SSC-A-BASED STEP-DOWN DC&#45;DC CONVERTERS: ANALYSIS, DESIGN AND EXPERIMENTAL VALIDATION",2022,"This paper proposes two non-isolated step-down DC–DC converters based on the type-A three-state switching cell (3SSC-A), resulting in an alternative to buck and buck-boost classical converters, respectively. The proposed topologies are part of a group unexplored that employ 3SSC-A, which has advantages 3SSC-based such as high power density, reduced current stress semiconductors suitable thermal loss distribution. In this regard, complete static analysis is performed, including detailed study all semiconductor voltage efforts developing models for each one. Moreover, by using simulation models, AC sweep analyses validate dynamic frequency response converter’s small-signal PI-based output–voltage closed-loop controllers duly designed. Finally, experimentally validated through implementation adequately designed prototypes, achieving efficiency values greater than 91% under several output rates varying from 50% 100%.",26,0.0
1208,"DC-DC 3SSC-A-BASED BOOST CONVERTER: ANALYSIS, DESIGN, AND EXPERIMENTAL VALIDATION",2021,"A detailed analysis and validation of the DC-DC boost converter based on three-state switching cell (3SSC) type-A are presented in this paper. The study topology is justified by small amount research that employs 3SSC-A advantages inherent to 3SSC-based converters, such as division current stresses between semiconductors, distribution thermal losses, high-density power. Therefore, a complete static described, well all voltage development loss model components, comparison with other step-up structures. Additionally, small-signal accomplished comparing theoretical frequency response simulated AC sweep analysis. Finally, implementing simple controller structure, experimentally validated through 600 W prototype, where its overall efficiency examined for various load conditions, reaching 96.8% at nominal load.",26,0.0
1209,A NON-ISOLATED DC-DC BOOST CONVERTER WITH THREE-STATE SWITCHING CELL,2019,"This paper presents a boost converter based on the three-state switching cell (3SSC), which has been widely used in design of several topologies electronic power converters. The structure is part family non-isolated DC-DC converters that reported previously literature, however, detailed modeling and analysis have not presented before. topology consists type-A cell, one five variants 3SSC. advantages associated to use 3SSC, such as reduction current stress semiconductors distribution losses them. A qualitative continuous conduction mode performed, control pulses main switches being non-overlapping, operational stages are analyzed procedure obtained. obtaining small-signal model converter. Experimental results duly discussed validate theoretical assumptions.",26,0.0
1210,CORREÇÃO AUTOMÁTICA DO FATOR DE POTÊNCIA POR MEIO DE UM COMPENSADOR ESTÁTICO DE POTÊNCIA REATIVA (SVC),2018,"Este artigo propoe o controle em malha fechada de um Static VAR Compensator (SVC), objetivando a regulacao do fator potencia fundamental uma instalacao eletrica partir da compensacao reativos. No algoritmo embarcado ao SVC e aplicado Teoria Potencia Instantânea, proporcionando versatilidade microcontrolador no processamento das variaveis controle. A operacao prototipo SVC, com capacidade reativa na faixa 453,16 VAr indutivo 3021,05 capacitivo, indica que sistema segue referencia desejada, boa precisao, resultando correcao automatica potencia.",-1,0.0
1211,BRIDGELESS BUCK-BOOST PFC CONVERTER WITH THREE-STATE SWITCHING CELL,2019,"In this paper, a bridgeless buck-boost converter with power factor correction is proposed, using three-state switching cell named of B configuration, operating in continuous conduction mode. The technique allows the bridge rectifier inclusion switched on grid frequency, high frequency DC-DC stage, reducing stages number required and increasing structure reliability. Due to there current stress division by half inductor all circuit semiconductors. Moreover, ripple energy storage elements twice value, which make easier design input output passive filters reduces converter's volume weight. Preliminary simulation results prove effectiveness correction, keeping voltage stable specified operation point, total harmonic distortion less than 2%.",26,0.0
1212,NOVEL BUCK-BOOST PFC CONVERTER WITH THREE-STATE SWITCHING CELL,2019,"In this paper, a buck-boost converter with power factor correction is proposed, using three-state switching cell named of B configuration, operating in continuous conduction mode. The type insertion on the keeps conventional structure statistic characteristics and brings as advantage, stress current division all semiconductors by half inductor current. Moreover, ripple frequency energy storage elements will be twice value, making easier design input output passive filters reducing final volume weight. Preliminary simulation results prove effectiveness correction, keeping voltage stable specified operation point, total harmonic distortion below 1.5%.",-1,0.0
1213,SVC OPERATING AS AN UNBALANCE COMPENSATOR WITH CONTROL SYSTEM BASED ON THE STEINMETZ METHOD AND THE INSTANTANEOUS POWER THEORY,2019,"This paper proposes a digital control system, based on the Steinmetz method and instantaneous power theory, applied to static var compensator compensate unbalance between phases factor of loads. The proposal incorporates an additional filtering system for elimination harmonic components extraction positive-sequence voltage. experimental results demonstrated good precision in compensation correction factor. tests indicate reduction 44.9% 3.3% fundamental unit.",-1,0.0
1214,THREE-PHASE HALF-CONTROLLED BOOST CONVERTER OPERATING IN QUASI-CRITICAL CONDUCTION MODE,2018,"AC-DC converters, which operate in discontinuous conduction mode, can be used as power factor correction. Operating with constant duty cycle, the control system presents low complexity, however, for static voltage gains, input current is not sinusoidal and has a high order harmonic content, going beyond limits imposed by international norms standards. As an alternative, analysis simulation of three-phase semi-controlled boost rectifier quasi-critical mode presented this paper. This ensures that will follow form, suppressing use sensors or meshes, providing greater robustness to converter. In addition, maintains some advantages operation example, zero-current-switching during turn-on switches, simplicity lower cost. configuration, stress semiconductors are divided and, single pulse necessary switch conduction. The results prove occurs correction content reduction frequency.",26,0.0
1215,THREE-PHASE HALF-CONTROLLED BOOST PFC RECTIFIER WITH NEW VARIABLE DUTY CYCLE CONTROL,2018,"Converters operating in discontinuous-conduction-mode and using the bridgeless technique can offer rectification elevation of voltage high frequency, also better efficiency when compared to conventional single-switch boost power-factor-correction converter. In this conduction mode, input current naturally follows a sinusoidal envelope, dispensing sensors use. Some these advantages are inherent converter as zero-current-switching during turn-on switches, simplicity control system lower cost. However, operation with constant duty cycle leads harmonic content low limiting converters applications may exceed limits imposed by international standards. This paper presents analysis experimental results three-phase new variable control, discontinuous-conduction-mode. configuration, stress semiconductors divided and, single pulse is necessary for switch conduction. The proved that occurs power factor correction reduction frequency.",26,0.0
1221,CHANGES IN SOLUBLE MANGANESE AND IRON CONCENTRATIONS OF TROPICAL WETLAND SOILS AS INFLUENCED BY GLYPHOSATE DOSAGE,2013,"Glyphosate is largely used to control weeds in wetland soils of Brazil. We investigated changes the chemistry soluble manganese (Mn) and iron (Fe) these as affected by glyphosate dosage. Triplicate samples A horizon with different organic-matter contents were incubated deionized water (1:2) for 1, 3, 30 days under flooding. Three doses (0, 0.048, 0.096 g L−1 m−2) spiked on flooded at beginning incubation periods. After incubation, pH was measured supernatant collected determination Mn/Fe concentrations atomic absorption. application impacted Mn but had no effect Fe. Soluble decreased dosage increased high soil after 3 incubation. It indicated that can change metals. The intensity depends dosage, evolved metal, time, properties.",-1,0.0
1222,SOIL MICROBIAL BIOMASS AND ACTIVITY IN WETLANDS LOCATED IN PRESERVED AND DISTURBED ENVIRONMENTS IN THE CERRADO BIOME,2015,"The veredas (a type of wetlands) are wet ecosystems usually associated with the presence hydromorphic soils, which often occur in vicinity springs and watercourses Cerrado region Brazil.This study aimed to assess microbiological biochemical soil properties wetlands (veredas) located preserved disturbed environments (in farming grazing areas) biome.Soil samples were collected at depths 0-10 cm 10-20 cm, along reference lines arranged according their position landscape, upper, middle lower positions one slopes.The total organic carbon, microbial biomass carbon nitrogen (C mic N ), C:N ratio, quotient, basal respiration, metabolic quotient fluorescein diacetate (FDA) hydrolytic activities (as heterotrophic enzymatic activity) determined.The soils adjacent agricultural livestock showed changes biological compared ecosystems.Increased ) is reported nearby areas under intensive technified management, on surface layer (0-10 cm), especially slope position, while environments, same conditions relief depth, there a relative decrease carbon.",0,0.0
1224,CHANGES OCCURRING DURING THE PARBOILING OF UPLAND RICE AND IN THE MACERATION WATER AT DIFFERENT TEMPERATURES AND SOAKING TIMES,2011,"Summary The objective of this work was to investigate the influence temperature and soaking time on quality grains from two upland rice cultivars. Response surface methodology a central compound rotational design were used. data obtained for cultivars BRS Primavera Sertaneja varied, respectively, between 27.7–55.0% 26.0–51.7% Husk‐Splitting Index; 0.8–5.0% 0.0–4.0% incidence ‘banana’ grains; 0.0–2.0% 0.0–1.2% non‐gelatinised 0.2–0.7% 0.2–0.8% soluble solids in maceration water. Because had narrower shape, they absorbed water faster consequently presented greater amount physical defects, although losses smaller than Sertaneja.",9,0.0
1225,USO DE REVESTIMENTO COMESTÍVEL A BASE DE RESÍDUO DE FRUTAS ADICIONADO DE POLPA DE ACEROLA PARA A CONSERVAÇÃO DE FRUTAS MINIMAMENTE PROCESSADAS / USE OF EDIBLE COATING BASED ON FRUIT RESIDUE ADDED TO ACEROLA PULP FOR THE PRESERVATION OF MINIMALLY PROCESSED FRUITS,2022,"Em vários países, verifica-se que os produtos minimamente processados estão sendo oferecidos nos formatos mais variados, sempre visando agregação de valor e comodidade do consumidor. Entretanto, se por um lado o processamento mínimo agrega aos vegetais contribuindo para sua valorização, outro, causa danos mecânicos tecidos dos mesmos. Uma das formas controlar estas perdas, é a aplicação revestimentos comestíveis com propriedades barreira. Há estudos sobre materiais biodegradáveis base amido, pectina outros componentes bioativos, porém, há poucos relatos uso resíduos orgânicos adicionados polpa frutas formação em alimentos. Objetivou-se essa pesquisa, desenvolver utilizando da laranja maracujá acerola, uma melhor conservação mamão morango processados. Segundo metodologia proposta, insumos foram adquiridos comércio local, encaminhados procedimentos mínimo. Já produção revestimentos, aproveitados maracujá, utilizados aulas práticas origem vegetal. A acerola foi produzida processador Foram definidos tratamentos na quantidade adicionada (1% 2%), revestimento controle (C), apenas água destilada. Após nas amostras, determinados perda massa, teor umidade, pH, acidez titulável, sólidos solúveis, vitamina C, podridões defeitos fisiológicos durante armazenamento temperatura refrigeração, nove dias. Conclui-se efeitos gerados pelos resíduo adicionado características fisiológicas físico-químicas não significativos positivamente, pois tiveram prazo seis dias conservação.",-1,0.0
1226,INFLUÊNCIA DO TIPO DE LEITE BOVINO NAS CARACTERÍSTICAS DO KEFIR / INFLUENCE OF THE TYPE OF BOVINE MILK ON KEFIR CHARACTERISTICS,2022,"O kefir é um produto resultante da fermentação do leite, que se dá pela ação de bactérias e leveduras como Lactobacillus Bifidobacterium, componentes dos grãos produzem principalmente ácido lático, álcool etílico gás carbônico. Sabe-se seu consumo promove a digestibilidade das proteínas, lactose, propriedades antimicrobianas, também possui aminoácidos essenciais, minerais vitaminas complexo B, são nutrientes essenciais para o bom funcionamento organismo. Em vista disso, propósito foi analisar as físico-químicas, microbiológicas, rendimento custo em relação aos leites UHT, cru pasteurizado produção fermentado kefir. A premissa estudo encontrar melhor matéria prima caseira realizado com leite cru, aquecidos 25°C, submetidos inoculação desidratados pelo período cinquenta dias. Foram feitas análises contagem pesagem grãos, pH acidez, durante dias, além teor umidade, cinzas, gordura, proteína, açúcares redutores viscosidade, sinérese, microbiológicas no fermentado. Não houve diferença significativa (P&gt;0,05) à cinzas proteína entre os tratamentos. Os maiores valores viscosidade menores sinérese foram percebidos UHT. aumento quantidade utilizado na teve influência nos acidez encontrados. Foi verificado tratamento térmico influenciou carga bacteriana Conclui-se que, resultados encontrados neste ajudam padronização cultivo casa, sendo UHT contribui fermentados demais",-1,0.0
1228,COMPARATIVE STUDY BETWEEN STRAIN GAGES FOR DETERMINATION OF AUTOGENOUS SHRINKAGE,2020,"ABSTRACT The Carlson-type strain gages are the most suitable for measurement of autogenous shrinkage. However, your high cost is usually a limiting factor employment. A more economical alternative would be use Self-Temperature-Compensation Gages to embedded in concrete. main objective this work was verify if can used instead Carlson type determine shrinkage performance It carried out measurements shrinkage, same concrete mix, using two types extensometers. difference means results between these extensometers typically less than 10x10-6 m/m.",-1,0.0
1229,SISTEMA DE COTAS NO ENSINO SUPERIOR,2021,"A Lei de Cotas (Lei nº 12.711, de 29 de agosto de 2012) determinou que instituições federais brasileiras de ensino superior devem garantir a reserva de 50% das vagas, por curso, para estudantes que tenham cursado integralmente o ensino médio em escolas públicas. O objetivo deste estudo foi realizar um levantamento de dados em dois cursos superiores de uma mesma instituição de ensino, utilizando o método de análise estatística em pesquisa documental, referente ao ingresso de alunos nos vestibulares e, posteriormente, analisando a evasão dos cursos. Os resultados apontam para um aumento do ingresso pelas cotas sociais e raciais, nos cursos superiores, ao longo dos anos analisados, entre 2015 e 2018.",0,0.0
1230,PROPOSAL OF MODEL PREDICTIVE CONTROL (MPC) METHOD FOR A THREE-PHASE FOUR-LEG INVERTER APPLIED IN A DISTRIBUTED GENERATION SYSTEM,2017,This work deals with the feedback operation strategy of a low-voltage distributed generation system composed by three-phase four-leg inverter connected to typical four-wire grid-utility in PCC (Point Common Coupling). The desired modulation and switching pattern for is determined Model Predictive Control (MPC) method. Some reasons choosing control method topology are presented discussed. rules MPC defined so that load supplied full generator power factor maximized. A total four cases local loads considered validate proposed,29,0.0
1231,WAVELET TRANSFORM ANALYSIS FOR GRID-CONNECTED PHOTOVOLTAIC SYSTEMS,2017,"This paper aims to present some applications of Wavelet Transform (WT) in grid-connected photovoltaic (PV) systems, main differences among transform and Fourier transforms also aspects related power quality (PQ) islanding detection methods a PV system. An example Discrete (DWT) applied detect disturbs on electrical signals is presented. analysis an important addition time-frequency with practical systems. The wavelet has more advantages than techniques such as Short-Time Transform. Therefore, can be for classification disturbances And also, wavelet-based anti-islanding method reliable island condition detection. Simulation results are presented discussed order describe the proposal applying WT system analysis.",-1,0.0
1232,EFFICIENCY IMPROVEMENT OF SWITCHED RELUCTANCE GENERATOR USING OPTIMIZATION TECHNIQUES,2016,"This article introduces the switched reluctance machine operating as a generator. kind of electrical delivers CC power at output and energy generated can be controlled through several variables. In this work, switching angles machine's converter are optimized using deterministic heuristic techniques so that is kept constant via PI controller while guaranteeing maximum value for performance, even different excitation values mechanical on shaft.",5,0.0
1233,ANALYSIS AND ADEQUACY METHODOLOGY FOR VOLTAGE VIOLATIONS IN DISTRIBUTION POWER GRID,2021,"This paper proposes a computational process development capable of filling the electric power sector shortage regarding voltage non-conformities identification in distribution grid accounting for loads dynamic behavior at medium and low voltages. Actual data are used, with georeferencing to signal transgressions locations, generate report transgression indices financial reimbursement values provided by legislation. The methodology compares regulatory requirements makes available software some possible actions an attempt adjust levels, avoiding inconvenience penalties energy utilities providers. method involves extractor construction electricity provider company’s databases, computer simulations comparison obtained results established quality control standards. Thus, finding non-conformity locations determining network adjustments correct tension indexes permanent regulation. proposal features reduction operating costs, increasing efficiency operation consumers.",2,0.0
1235,ANALYSIS OF SWITCHED RELUCTANCE MOTOR EFFICIENCY UNDER DIFFERENT SPEED CONTROL STRATEGIES,2015,"The Switched Reluctance Machines (SRM) has been research object for several years due advantages such as reliability, low cost, independence of machine phases and possibility operation at high speeds. design the SRM its power converter, can result in a higher efficiency to corresponding induction operating variable speed, advantage that Motor drive are simpler construction terms. However, some parameters influence efficiency, load torque, excitation firing angles applied converter. In this paper, different control actions PI Fuzzy controllers implemented on simulation order observe which strategy provides best behavior.",5,0.0
1236,COMPARATIVE ANALYSIS BETWEEN PI AND FUZZY CONTROLLERS APPLIED TO A WORKBENCH WITH AN INDUCTION MOTOR,2016,"This paper presents experimental and simulation results for an induction motor operating with PI (proportional integral) Fuzzy speed controllers. aim to stablish a comparative analysis between both controllers regarding steady state transient behaviour, just like perfomance under disturbances. To collect the tests were made in workbench integrated by several elements, including motor. The development is presented as well.",29,0.0
1237,SPEED CONTROL FOR DIRECT CURRENT MOTOR USING OPTIMIZATION TUNING FOR PID CONTROLLER,2016,"This paper proposes speed to control a the direct current motor (DC motor) containing PWM signal as input. Through tuning and data, real system can be modeled. Tests are performed in develop simulation environment. Thus, it is possible perform PID by adjusting gains classical Ziegler-Nichols method then, compare results using deterministic optimization method.",29,0.0
1238,INCREASING EFFICIENCY OF THE SWITCHED RELUCTANCE GENERATOR USING PARAMETRIC REGRESSION AND OPTIMIZATION METHODS,2017,In this paper the switched reluctance generator (SRG) is explored considering improvement of its efficiency. This machine generates a DC power that directly related to input driving parameters. Simulation results are presented bringing case study parametric regression track best efficiency for any parameters: excitation voltage and turn off angle. A method known as applied along with deterministic optimization in order find an equation provides parameters so can generate associated high,5,0.0
1239,OPTIMIZING OF THE INSERTION OF DISTRIBUTED GENERATION INTO A POWER DISTRIBUTION NETWORK,2017,"This paper presents a method of the adequacy voltage transgression in real power distribution network. aims to adjust levels through optimization insertion position Photovoltaic (PV) Distributed Generation (DG) The feeder was simulated using Open Distribution System Simulator (OpenDSS) software. used deterministic find optimized sites DG. Through insertions, network with larger number nodes adequate obtained.",2,0.0
1240,AN APPLICATION OF GENETIC ALGORITHM AND THE SERIAL SCHEDULE GENERATION SCHEME FOR SOLVING THE RESOURCE-CONSTRAINED PROJECT SCHEDULING PROBLEM,2017,"This article presents a way to solve Resource-Constrained Project Scheduling Problem with genetic algorithm and demonstrates the high relevance of metaheuristics for solution this type problem. Also shows various benchmarks others heuristics. The benchmark performed compares directly relatively new heuristic several other works performed. together approach form resolution applied obtained better results than approaches. work reinforced that, even metaheuristics, remains in lead",2,0.0
1241,PREDICTING SYSTEM FOR FLOODED AREAS DEVELOPED WITH MLP-TYPE NEURAL NETWORK,2018,"Forecasting systems can help in the intervention process of events order to prevent them from occurring. Most existing methods use time series for development and performance forecasting system. The purpose this study is observe obtained results through artificial multilayer neural networks. This work verified efficiency proposed method limnological water quality variables collected Paraguay River, corroborating with other studies that are used tool an attempt predict events.",0,0.0
1242,EVALUATION OF TECHNOLOGIES TO REDUCE ENERGY AND WATER CONSUMPTION IN POPULAR HOUSING,2018,"This paper proposes evaluates the energy efficiency actions in housing of social interest State Goias - Brazil. The Goiana's Housing Agency did retrofit lamps and photovoltaic system 729 houses some already had solar thermal systems. In this sample three were selected to do measurements monthly consumption inputs (water electricity) by electric or shower, considering average 4 inhabitants per house. To comparison was inserted association proposed generation. Considering installation cost diluted useful life equipment. a favorable economic results presents that solution with lowest bath is associated shower when compared heating. factors such as volume water used system, time, equipment life, determined result. cases thermosolar technologies, we conclude if total investment applied only photovoltaic, result resident will be higher.",8,0.0
1243,METHODOLOGY FOR VOLTAGE ADEQUACY USING PHOTOVOLTAIC DISTRIBUTED GENERATION,2019,"This paper presents a methodology of placement multiple distributed-generation photovoltaic (DGPV) for minimization voltage transgression in power distribution real network. Currently, there are several methodologies distributed generators, still being an open question the scientific community. The goal this is to optimize siting, sizing and amount DGPV. evaluation function used corresponds sum transgressions each phase, constrained optimization. genetic algorithm was optimization, besides hybridized method based on Nelder-Mead method. At end simulations, reduction value obtained, which resulted significant increase number electrical nodes with adequate levels.",2,0.0
